DockQ,irms,Lrms,fnat,classification,model,zrank2_score,zrank_score,rosetta_score,HDX_score
0.0151251767564944,20.270839793681265,41.67951513099815,0.0,0,MODEL_606_NATIVE,-52.6609,-38.4535,2676.729,0.03497035214796719
0.0148742663759333,20.343400480375568,42.07295951044394,0.0,0,MODEL_905_NATIVE,-29.8267,-31.7784,2671.957,0.034974804383528166
0.0153514171424421,20.021235812221363,41.387345871640726,0.0,0,MODEL_939_NATIVE,-73.7701,-47.0633,2679.779,0.03499326084287174
0.0165868537169995,19.33436507330807,39.72577986045648,0.0,0,MODEL_215_NATIVE,-41.6993,-32.6399,2693.114,0.034995247232960734
0.0151233188116606,20.24928649306461,41.688819308364245,0.0,0,MODEL_240_NATIVE,-67.9511,-43.4353,2680.174,0.03500225754422606
0.0152372436900632,20.138533706788703,41.536264353837765,0.0,0,MODEL_588_NATIVE,-67.5141,-44.5764,2647.76,0.03502962266805609
0.014033396481375,21.071143253399143,43.32887642462915,0.0,0,MODEL_951_NATIVE,-53.7601,-34.0276,2719.257,0.035060701464361424
0.0166653689630691,19.345131266875367,39.61134177583239,0.0,0,MODEL_548_NATIVE,-49.0529,-36.6298,2682.436,0.035064280236377005
0.0120121645900415,23.29941145359796,46.81888653198274,0.0,0,MODEL_406_NATIVE,-48.6294,-35.8757,2698.48,0.03507793750476358
0.0161723956230491,19.656229489494017,40.23308614799576,0.0,0,MODEL_510_NATIVE,-6.04264,-17.4313,2716.673,0.035089995545442815
0.014010950970146,21.193489716790825,43.334693335662735,0.0,0,MODEL_321_NATIVE,-76.4664,-42.2544,2675.566,0.0351063142689308
0.0146472100256386,20.55369405132061,42.39562298302182,0.0,0,MODEL_343_NATIVE,-21.9262,-23.6038,2677.294,0.03510991776927147
0.0154749616077873,19.862235369011643,41.23815317529483,0.0,0,MODEL_746_NATIVE,-40.4275,-40.5195,2685.991,0.03511157871346521
0.0148916653976075,20.34691023267472,42.04281134300073,0.0,0,MODEL_698_NATIVE,-31.3308,-33.4241,2667.521,0.0351147471157008
0.0150479140990674,20.263898993052216,41.80809783036998,0.0,0,MODEL_63_NATIVE,-41.4789,-40.0682,2670.805,0.035141340311183315
0.0135824576462028,22.085457651701613,43.88680678539721,0.0,0,MODEL_651_NATIVE,-72.1697,-44.2835,2684.542,0.03517380897313241
0.0153938942876109,19.931587271754744,41.34616504430193,0.0,0,MODEL_232_NATIVE,-76.6348,-44.2891,2662.081,0.03517520067278298
0.0155126326977394,20.68781026943193,40.94871467171506,0.0,0,MODEL_656_NATIVE,-65.9583,-43.4189,2693.194,0.03517787049625986
0.0150616005391315,20.21739866951051,41.79927150197015,0.0,0,MODEL_128_NATIVE,-41.7868,-39.5533,2670.316,0.03519688035400071
0.0122145238694925,23.698963362636807,46.26424896449223,0.0,0,MODEL_818_NATIVE,-81.1833,-52.2575,2683.86,0.035199977833308534
0.013754663304861,21.566148648072883,43.70285115266556,0.0,0,MODEL_509_NATIVE,-66.5807,-39.9897,2667.496,0.03521481122936499
0.0151468286090185,20.075538230469824,41.70178082117216,0.0,0,MODEL_57_NATIVE,-49.9117,-45.0708,2696.468,0.035231025728734953
0.0149127012098843,20.97091121714311,41.83346530953411,0.0,0,MODEL_292_NATIVE,-27.4128,-27.9396,2697.958,0.03523116355101432
0.015862371466268,19.584574106362187,40.71946746491074,0.0,0,MODEL_141_NATIVE,-29.9749,-30.8057,2744.704,0.03524133366642115
0.0156512941975975,19.817395958312648,40.975014976087415,0.0,0,MODEL_915_NATIVE,-53.988,-32.6033,2682.524,0.0352415371005712
0.0136328394012218,21.338590434597887,43.99695096011748,0.0,0,MODEL_249_NATIVE,-73.7755,-43.7389,2684.292,0.03525216986483244
0.0170783386495543,20.20323308706156,38.81864379274364,0.0,0,MODEL_16_NATIVE,-36.4086,-30.4223,2680.983,0.03528216268612987
0.0146068220175666,20.45131261562561,42.49526981595445,0.0,0,MODEL_37_NATIVE,-38.9742,-39.5985,2674.651,0.03529601358433363
0.013772152563749,21.29870430124793,43.74559063525987,0.0,0,MODEL_648_NATIVE,-66.2755,-51.5066,2715.182,0.03530115929665765
0.0130290107719665,21.8411709249615,45.038819400398296,0.0,0,MODEL_181_NATIVE,-43.2016,-28.6186,2734.533,0.03530162083746363
0.0162171311177427,19.49795874418076,40.21323719821235,0.0,0,MODEL_841_NATIVE,-56.6194,-37.8021,2686.874,0.035306055208763655
0.0154392107211458,19.912755265548387,41.27970914337268,0.0,0,MODEL_717_NATIVE,-46.7995,-38.891,2694.15,0.035309863469975625
0.0133543057391818,21.70558571966645,44.42880793139606,0.0,0,MODEL_139_NATIVE,-47.5919,-34.8144,2675.834,0.03532767865765546
0.0149886234414803,20.57063715001126,41.817650939567976,0.0,0,MODEL_707_NATIVE,-37.7049,-28.4529,2679.865,0.035327813805427495
0.0160382901139867,19.716359061454675,40.41486876198928,0.0,0,MODEL_700_NATIVE,-38.6806,-36.0339,2684.796,0.03533427477351584
0.0174575816548748,18.97471395478594,38.63782855555117,0.0,0,MODEL_511_NATIVE,-62.1033,-37.0765,2710.572,0.03534244125799297
0.0150411964271197,20.85379127538567,41.654134703169895,0.0,0,MODEL_685_NATIVE,-26.569,-28.9949,2685.392,0.035342824068502025
0.013700643374224,21.735702661170365,43.75744838328981,0.0,0,MODEL_810_NATIVE,-74.4299,-39.7917,2703.671,0.03535230937572374
0.0155088932695902,19.8197596294012,41.19728133424501,0.0,0,MODEL_603_NATIVE,-45.0838,-42.9148,2684.168,0.03535372815006887
0.0136083413656194,21.42131425746054,44.01965634980952,0.0,0,MODEL_781_NATIVE,-42.8091,-30.0504,2667.543,0.03535589998003618
0.0136124567344948,21.636762656389298,43.95085116723798,0.0,0,MODEL_267_NATIVE,-46.8358,-37.6646,2663.796,0.03536009521418173
0.0148453312163689,20.28790329408249,42.13801794165479,0.0,0,MODEL_404_NATIVE,-38.9902,-39.9588,2671.167,0.035360943630684004
0.0149669460384582,20.196052224024488,41.962110569167145,0.0,0,MODEL_206_NATIVE,-41.2244,-42.3122,2676.984,0.035368637377958534
0.0150643040339614,20.13705588190876,41.818696727786005,0.0,0,MODEL_489_NATIVE,-39.0351,-40.8407,2686.119,0.03537177584680473
0.0138377296118494,21.090870453198445,43.68365300220706,0.0,0,MODEL_453_NATIVE,-51.1642,-40.5041,2671.268,0.03537196705070455
0.0150044687868602,20.17027693218521,41.90756318018483,0.0,0,MODEL_204_NATIVE,-53.5259,-47.9367,2695.504,0.03537450452946525
0.0159708685323222,19.77747851432781,40.49827854818183,0.0,0,MODEL_477_NATIVE,-66.9914,-39.6385,2678.651,0.03537485232631823
0.0913294028487241,11.370846291474486,20.15494425498611,0.1058823529411764,0,MODEL_27_REVISED,10.8794,-56.1531,3272.433,0.035378785422897914
0.012392359298165,22.910452560048352,46.078352344958944,0.0,0,MODEL_901_NATIVE,-80.2549,-47.4471,2662.666,0.035410195384770714
0.0145834501098539,20.597004440187984,42.492447200230174,0.0,0,MODEL_831_NATIVE,-45.4884,-32.6605,2689.886,0.0354222070439164
0.0163916532560577,19.694303059298623,39.90252220637316,0.0,0,MODEL_120_NATIVE,-54.3132,-45.5058,2682.052,0.03542612405654838
0.0162693041130494,19.50163477903116,40.13549478875114,0.0,0,MODEL_800_NATIVE,-46.1191,-32.0414,2692.841,0.03545057326661089
0.0150042368199772,20.16005305181569,41.9110115731806,0.0,0,MODEL_559_NATIVE,-43.0548,-43.6204,2685.588,0.035450574880740056
0.0160996899315847,19.61417835207388,40.353017343078925,0.0,0,MODEL_669_NATIVE,-46.2644,-34.1108,2682.161,0.03545162242218285
0.0162856751565758,19.5181266735,40.10671006817442,0.0,0,MODEL_673_NATIVE,-52.4809,-36.8919,2687.952,0.03545422262838414
0.016258328320315,19.520616406089307,40.14603087857198,0.0,0,MODEL_566_NATIVE,-43.5547,-27.1382,2687.177,0.03546140577312403
0.0142324797734172,20.861707756254365,43.030686836166936,0.0,0,MODEL_950_NATIVE,-37.9934,-35.88,2675.533,0.03546474778246633
0.0147485974558507,21.11046405715264,42.069123037753954,0.0,0,MODEL_991_NATIVE,-28.9525,-27.9421,2677.14,0.035474027276200554
